Course Code,Academic Year,Semester,Course Name,Lecturer Name ,Start Date,End Date,Schedule (Day of Week),Start Hour,End Hour
CS161,2017 - 2018,1,Introduction to Computer Science I,Dinh Ba Tien,5/9/2017,18-11-2017,Wed,7h30,9h30
CM101,2017 - 2018,1,Communication Management,Duong Nguyen Vu,5/9/2017,18-11-2017,Tue,7h30,9h30
MTH251,2017 - 2018,1,Calculus I,Nguyen Thi Thu Van,5/9/2017,18-11-2017,Fri,7h30,9h30
PH211,2017 - 2018,1,General Physics I,Vu Thi Hanh Thu,5/9/2017,18-11-2017,Mon,7h30,9h30
CS162,2017 - 2018,2,Introduction to Computer Science II,Dinh Ba Tien,8/1/2018,4/7/2018,Mon,7h30,9h30
PH212,2017 - 2018,2,General Physics II,Nguyen Huu Nha,8/1/2018,4/7/2018,Mon,9h30,11h30
MTH252,2017 - 2018,2,Calculus II,Nguyen Huu Anh,8/1/2018,4/7/2018,Tue,7h30,9h30
TCH001,2017 - 2018,2,Marxism and Leninism,Nguyen Ngoc Thu,8/1/2018,4/7/2018,Wed,9h30,11h30
